"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2029369","Residential Attached","S","122 433 KILLOREN CRESCENT","Heritage","1991","Townhouse","25","PG City West (Zone 71)","Prince George","6/30/2016","OR TEXT","1","$2,169.67","1/28/2016","017-630-991",,"$134.00","1/29/2016","$182,000","$105.51","0.98","2","2","RM3","$184,900","1","1,725","$105.51","0.98","Townhouse"
"R2021033","Residential Attached","S","105 22611 116 AVENUE","East Central","1990","Apartment/Condo","26","Maple Ridge","Maple Ridge","4/16/2016","CHRIS","1","$1,940.01","12/16/2015","016-246-713","3","$196.75","1/29/2016","$185,000","$235.67","0.98","1","1","RM3","$189,000","44","785","$235.67","0.98","Apartment/Condo"
"F1439941","Residential Attached","S","206 1458 BLACKWOOD STREET","White Rock","1982","Apartment/Condo","34","South Surrey White Rock","White Rock","5/1/2016","Touchbase Please","2","$1,540.00","5/1/2015","002-066-068","3","$331.92","1/29/2016","$185,000","$168.49","0.95","2","2","MF","$195,000","273","1,098","$168.49","0.86","Apartment/Condo"
"R2029181","Residential Attached","S","304 4369 MAIN STREET","Whistler Village","1997","Apartment/Condo","19","Whistler","Whistler","7/14/2016","LANCE LUNDY","0","$1,374.00","1/26/2016","023-778-890",,"$470.00","1/30/2016","$185,000","$440.48","0.93","0","0","LA2","$199,000","4","420","$440.48","0.93","Apartment/Condo"
"R2013930","Residential Attached","S","212 20145 55A AVENUE","Langley City","1994","Apartment/Condo","22","Langley","Langley","2/5/2016","TONY","2","$1,791.05","11/5/2015","019-115-601","4","$321.43","2/1/2016","$186,000","$158.57","1.09","2","2","CONDO","$169,900","88","1,173","$158.57","1.03","Apartment/Condo"
"R2014508","Residential Detached","S","117 BRAHMA CRESCENT","Williams Lake - City","1999","House/Single Family","18","Williams Lake (Zone 27)","Williams Lake","5/9/2016","TANYA RANKIN","1","$2,298.45","11/9/2015","023-673-133",,"$70.00","1/31/2016","$187,500","$144.23","0.96","2","2","R3","$195,500","83","1,300","$144.23","0.96","House/Single Family"
"R2010901","Residential Attached","S","6 46345 PRINCESS AVENUE","Chilliwack E Young-Yale","2004","Townhouse","12","Chilliwack","Chilliwack","4/30/2016","Clark Hitchcock","2","$1,500.17","10/22/2015","025-915-657",,"$147.00","1/28/2016","$191,000","$136.04","0.98","3","3","R5","$195,000","98","1,404","$136.04","0.96","Townhouse"
"R2005446","Residential Attached","S","109 1215 PACIFIC STREET","North Coquitlam","1992","Apartment/Condo","24","Coquitlam","Coquitlam","5/30/2016","BRAD","1","$1,414.79","10/2/2015","017-773-296","4","$279.00","2/1/2016","$192,500","$240.93","0.97","1","1","MF","$199,000","122","799","$240.93","0.97","Apartment/Condo"
"R2030399","Residential Attached","S","108 5665 177B STREET","Cloverdale BC","2014","Apartment/Condo","2","Cloverdale","Surrey","4/29/2016","ARTHUR SIMON","1","$1,225.37","1/29/2016","029-186-633","3","$173.63","1/29/2016","$192,900","$304.74","1.00","1","1","MF","$192,900","0","633","$304.74","1.00","Apartment/Condo"
"R2016667","Residential Attached","S","206 11580 223 STREET","West Central","2014","Apartment/Condo","2","Maple Ridge","Maple Ridge","3/31/2016","CHAD","1","$937.63","11/20/2015","029-309-204","4","$147.56","2/1/2016","$194,900","$272.59","1.00","1","1","STRATA","$194,900","73","715","$272.59","1.00","Apartment/Condo"
"R2029478","Residential Attached","S","E309 40180 WILLOW CRESCENT","Garibaldi Estates","1994","Apartment/Condo","22","Squamish","Squamish","3/30/2016","Jasmine or Simon","1","$1,285.96","1/27/2016","018-756-778",,"$141.00","2/1/2016","$194,900","$357.61","1.00","1","1","RS 5","$194,900","5","545","$357.61","1.00","Apartment/Condo"
"R2000788","Residential Attached","S","117 932 ROBINSON STREET","Central Coquitlam","1983","Apartment/Condo","33","Coquitlam","Coquitlam","2/14/2016","PENELOPE GABLE","1","$1,288.07","9/14/2015","002-304-317","3","$220.29","2/1/2016","$195,000","$281.79","0.98","1","1","VCQCW","$199,900","140","692","$281.79","0.98","Apartment/Condo"
"R2015266","Residential Attached","S","505 10082 148 STREET","Guildford","1993","Apartment/Condo","23","North Surrey","Surrey","5/12/2016","TOUCHBASE or call Drew","2","$1,134.00","11/18/2015","018-307-540",,"$301.74","1/31/2016","$196,000","$220.47","0.98","2","1","CD","$199,000","74","889","$220.47","0.98","Apartment/Condo"
"R2021036","Residential Attached","S","53 34332 MACLURE ROAD","Central Abbotsford","1996","Townhouse","20","Abbotsford","Abbotsford","4/28/2016","Anita","1","$1,380.64","12/17/2015","023-144-009","2","$202.33","1/28/2016","$196,000","$181.15","0.98","1","2","MF","$199,900","42","1,082","$181.15","0.98","Townhouse"
"R2023211","Residential Attached","S","305 5520 JOYCE STREET","Killarney VE","1988","Apartment/Condo","28","Vancouver East","Vancouver","4/1/2016","CALL/TEXT/EMAIL/TB ANDY","1","$742.00","1/6/2016","013-634-283",,"$130.10","2/2/2016","$198,000","$441.96","0.95","1","1","C-2","$207,900","27","448","$441.96","0.95","Apartment/Condo"
"R2020950","Residential Attached","S","44 7410 FLINT STREET","Pemberton","1998","Apartment/Condo","18","Pemberton","Pemberton","7/29/2016","Lisa Hilton","1","$1,476.63","12/15/2015","024-187-674",,"$220.00","1/31/2016","$199,000","$232.21","0.95","1","1","CD-2","$209,000","47","857","$232.21","0.93","Apartment/Condo"
"V1113511","Residential Attached","S","46 689 PARK ROAD","Gibsons & Area","1995","Apartment/Condo","21","Sunshine Coast","Gibsons","3/15/2016","DAVE BRACKETT","2","$1,731.00","3/25/2015","019-183-470","3","$205.00","1/31/2016","$199,000","$177.52","0.95","2","2","RM-2","$209,000","312","1,121","$177.52","0.95","Apartment/Condo"
"R2028362","Residential Attached","S","310 12206 224 STREET","East Central","1993","Apartment/Condo","23","Maple Ridge","Maple Ridge","12/31/2016","Team HomeHuntersBC","2","$2,116.23","1/25/2016","018-265-430",,"$266.68","1/28/2016","$200,000","$215.52","1.00","2","2","STRATA","$199,900","3","928","$215.52","1.00","Apartment/Condo"
"R2017539","Residential Detached","S","232 CLAXTON CRESCENT","Heritage","1976","House/Single Family","40","PG City West (Zone 71)","Prince George","2/23/2016","CALL/TEXT MIKE","2","$2,615.05","11/25/2015","008-950-261",,,"2/1/2016","$200,000","$104.17","1.01","2","4","RS2","$198,000","68","1,920","$104.17","1.01","House/Single Family"
"R2026831","Residential Attached","S","59 5922 HASTINGS STREET","Capitol Hill BN","1967","Apartment/Condo","49","Burnaby North","Burnaby","4/30/2016","Gordon 778-833-3924","1","$0.00","1/14/2016","800-102-056","3","$340.00","2/1/2016","$200,000","$243.31","0.98","1","2","MF","$205,000","18","822","$243.31","0.98","Apartment/Condo"
"R2019161","Residential Attached","S","204 1334 W 73RD AVENUE","Marpole","1976","Apartment/Condo","40","Vancouver West","Vancouver","3/31/2016","TOUCHBASE OR TEXT","1","$624.33","12/1/2015","003-814-882","3","$224.38","1/29/2016","$200,000","$376.65","0.96","1","1","STRATA","$208,000","59","531","$376.65","0.96","Apartment/Condo"
"R2022080","Residential Attached","S","419 12070 227 STREET","East Central","2015","Apartment/Condo","1","Maple Ridge","Maple Ridge","6/17/2016","RICHARD BURLEIGH","1","$0.00","12/29/2015","029-619-726","4","$193.44","2/1/2016","$200,700","$327.94","1.00","1","1","RM3","$200,700","34","612","$327.94","1.00","Apartment/Condo"
"R2012998","Residential Attached","S","113 22515 116 AVENUE","East Central","1987","Townhouse","29","Maple Ridge","Maple Ridge","11/4/2016","Julie Ramirez","2","$2,273.09","11/4/2015","010-701-991","2","$254.00","2/1/2016","$205,000","$162.06","0.95","2","2","RM2","$214,900","89","1,265","$162.06","0.95","Townhouse"
"R2025204","Residential Attached","S","94 38179 WESTWAY AVENUE","Valleycliffe","1972","Apartment/Condo","44","Squamish","Squamish","8/30/2016","ANDRE ZUBKO","1","$1,070.47","1/12/2016","015-270-246",,"$288.00","1/28/2016","$205,000","$232.95","1.00","1","2","RM3","$205,000","16","880","$232.95","1.00","Apartment/Condo"
"R2020476","Residential Attached","S","405 11726 225 STREET","East Central","1989","Townhouse","27","Maple Ridge","Maple Ridge","6/30/2016","BRENDA EXNER","2","$2,327.98","12/12/2015","015-089-045","3","$302.00","1/30/2016","$205,000","$143.36","0.98","2","2","STRATA","$209,900","49","1,430","$143.36","0.98","Townhouse"
"R2013775","Residential Attached","S","128 13958 108 AVENUE","Whalley","2008","Townhouse","8","North Surrey","Surrey","3/31/2016","Raji/Touchbase","1","$1,250.53","11/6/2015","027-749-002","4","$172.64","1/29/2016","$205,000","$286.71","0.98","2","2","CD","$209,900","84","715","$286.71","0.95","Townhouse"
"R2028297","Residential Attached","S","304 9946 151 STREET","Guildford","1993","Apartment/Condo","23","North Surrey","Surrey","5/31/2016","Chris","2","$1,261.00","1/25/2016","018-111-661","3","$298.16","2/2/2016","$207,000","$203.94","0.99","2","2","MF","$209,900","8","1,015","$203.94","0.99","Apartment/Condo"
"R2016328","Residential Attached","S","34 19696 HAMMOND ROAD","South Meadows","1978","Townhouse","38","Pitt Meadows","Pitt Meadows","2/29/2016","JENNIFEER DIPIETRA","1","$2,071.73","11/19/2015","001-567-845",,"$243.25","1/31/2016","$209,000","$169.92","1.00","2","2","MF","$209,000","73","1,230","$169.92","0.95","Townhouse"
"R2024104","Residential Attached","S","103 5438 198 STREET","Langley City","2007","Apartment/Condo","9","Langley","Langley","7/12/2016","Maureen","2","$1,275.67","1/12/2016","026-292-360",,"$254.40","2/2/2016","$209,000","$245.88","1.00","2","2","RM3","$209,800","21","850","$245.88","1.00","Apartment/Condo"
"R2009065","Residential Attached","S","102 12155 75A AVENUE","West Newton","1997","Apartment/Condo","19","Surrey","Surrey","10/16/2016","DAVE CHANNA","2","$1,136.67","10/15/2015","023-318-741",,"$246.78","2/2/2016","$210,000","$211.06","0.95","2","2","RM2","$220,000","110","995","$211.06","0.95","Apartment/Condo"
"R2024446","Residential Attached","S","108 19236 FORD ROAD","Central Meadows","1991","Apartment/Condo","25","Pitt Meadows","Pitt Meadows","4/10/2016","JANET MAXWELL","2","$1,882.11","1/11/2016","016-816-838","4","$300.00","1/29/2016","$210,000","$170.73","0.92","2","2","STRATA","$228,900","18","1,230","$170.73","0.92","Apartment/Condo"
"R2013477","Residential Detached","S","725 W 5TH AVENUE","Prince Rupert - City","9999","House/Single Family","999","Prince Rupert (Zone 52)","Prince Rupert","5/5/2016","JEFF CLARKE","2","$2,017.46","11/5/2015","014-669-935",,,"1/30/2016","$210,000","$94.94","0.93","2","4","R2","$227,000","86","2,212","$94.94","0.93","House/Single Family"
"R2030596","Residential Attached","S","205 2465 WILSON AVENUE","Central Pt Coquitlam","2017","Apartment/Condo","0","Port Coquitlam","Port Coquitlam","4/10/2016","The Partners Marketing Group","1","$0.00","1/30/2016","800-095-736","6","$123.64","2/1/2016","$210,600","$398.86","1.01","1","1","RA2","$208,900","2","528","$398.86","1.01","Apartment/Condo"
"R2022099","Residential Attached","S","305 1531 MERKLIN STREET","White Rock","1981","Apartment/Condo","35","South Surrey White Rock","White Rock","6/22/2016","Touchbase","2","$1,540.38","1/4/2016","001-848-160","3","$397.00","2/2/2016","$211,000","$196.10","0.97","2","2","MF","$216,500","29","1,076","$196.10","0.96","Apartment/Condo"
"R2030869","Residential Attached","S","506 2465 WILSON AVENUE","Central Pt Coquitlam","2017","Apartment/Condo","0","Port Coquitlam","Port Coquitlam","6/10/2016","The Partners Marketing Group","1","$0.00","1/31/2016","800-102-480","6","$123.64","2/1/2016","$214,900","$407.01","1.00","1","1","RA2","$214,900","1","528","$407.01","1.00","Apartment/Condo"
"R2031039","Residential Attached","S","507 3080 GLADWIN ROAD","Central Abbotsford","2016","Apartment/Condo","0","Abbotsford","Abbotsford","5/1/2016","Monique Papineau","1","$0.00","2/1/2016","900-577-824",,"$183.00","2/1/2016","$214,900","$340.03","1.00","2","1","RM","$214,900","0","632","$340.03","1.00","Apartment/Condo"
"R2005068","Residential Attached","S","309 33328 BOURQUIN CRESCENT","Central Abbotsford","2008","Apartment/Condo","8","Abbotsford","Abbotsford","2/29/2016","Diven Kisun Or Touchbase","2","$1,588.21","10/1/2015","027-344-843",,"$294.36","2/1/2016","$215,000","$209.55","0.98","2","2","RML","$219,000","123","1,026","$209.55","0.98","Apartment/Condo"
"R2027519","Residential Attached","S","D207 8929 202 STREET","Walnut Grove","2008","Apartment/Condo","8","Langley","Langley","5/19/2016","Paul Cameron","1","$2,287.00","1/19/2016","027-802-051","4","$215.13","1/28/2016","$215,000","$299.44","0.98","1","1","MF","$219,800","9","718","$299.44","0.98","Apartment/Condo"
"R2028959","Residential Detached","S","4233 GUEST CRESCENT","Pinewood","1976","House/Single Family","40","PG City West (Zone 71)","Prince George","5/12/2016","DELORES","2","$2,531.46","1/26/2016","004-587-545",,,"2/2/2016","$215,000","$99.08","0.98","2","4","RS2","$219,800","7","2,170","$99.08","0.98","House/Single Family"
"R2023518","Residential Attached","S","9 32310 MOUAT DRIVE","Abbotsford West","1978","Townhouse","38","Abbotsford","Abbotsford","1/8/2017","Gurvinder Singh Dhaliwal","1","$1,535.43","1/8/2016","001-628-771",,"$221.00","1/28/2016","$215,000","$175.65","0.98","2","3","RM45","$219,999","20","1,224","$175.65","0.98","Townhouse"
"R2029151","Residential Attached","S","2510 9981 WHALLEY BOULEVARD","Whalley","2011","Apartment/Condo","5","North Surrey","Surrey","4/27/2016","Jackie MacDonald","1","$1,345.43","1/27/2016","028-702-999",,"$174.33","1/31/2016","$215,000","$406.43","0.98","1","1","CD","$219,900","4","529","$406.43","0.98","Apartment/Condo"
"F1407148","Residential Attached","S","288 32550 MACLURE ROAD","Abbotsford West","1981","Townhouse","35","Abbotsford","Abbotsford","3/31/2016","DAVINDER OR HARPREET","1","$1,505.00","3/24/2014","001-910-736",,"$180.00","1/28/2016","$216,000","$185.57","0.96","2","3","RM45","$225,000","675","1,164","$185.57","1.00","Townhouse"
"R2027916","Residential Attached","S","28 12099 237 STREET","East Central","1994","Townhouse","22","Maple Ridge","Maple Ridge","7/25/2016","RACHAEL WOOD","1","$2,278.91","1/25/2016","018-362-982","2","$176.00","2/1/2016","$218,000","$199.09","0.97","1","2","RM1","$224,900","7","1,095","$199.09","0.97","Townhouse"
"R2029795","Residential Attached","S","304 225 MOWAT STREET","Downtown NW","1984","Apartment/Condo","32","New Westminster","New Westminster","4/30/2016","DONNA TAYS","1","$1,334.61","1/28/2016","002-214-857","3","$405.75","2/2/2016","$219,000","$252.89","1.00","1","2","MF","$219,900","5","866","$252.89","1.00","Apartment/Condo"
"R2027128","Residential Attached","S","224 3411 SPRINGFIELD DRIVE","Steveston North","1974","Apartment/Condo","42","Richmond","Richmond","11/30/2016","JONATHAN","1","$788.76","1/20/2016","001-087-843","3","$287.12","2/2/2016","$220,000","$229.41","0.98","2","2","MF","$224,900","13","959","$229.41","0.98","Apartment/Condo"
"R2022885","Residential Attached","S","1503 3438 VANNESS AVENUE","Collingwood VE","1999","Apartment/Condo","17","Vancouver East","Vancouver","4/5/2016","EMMANUEL (OR TEXT)","1","$713.44","1/5/2016","024-253-782","17","$212.49","1/30/2016","$220,000","$550.00","0.98","1","0","MF","$224,000","25","400","$550.00","0.98","Apartment/Condo"
"R2029155","Residential Detached","S","4372 VELLENCHER ROAD","Hart Highlands","1977","House/Single Family","39","PG City North (Zone 73)","Prince George","4/26/2016","TREVOR FINCH","1","$2,681.92","1/25/2016","008-721-831",,,"2/1/2016","$222,000","$90.10","0.99","1","3","RS1","$223,900","7","2,464","$90.10","0.99","House/Single Family"
"R2028666","Residential Attached","S","102 528 ROCHESTER AVENUE","Coquitlam West","1998","Apartment/Condo","18","Coquitlam","Coquitlam","5/30/2016","TOUCHBASE","1","$1,495.36","1/26/2016","024-118-826",,"$221.50","1/31/2016","$224,900","$358.12","1.00","1","1","STRATA","$224,900","5","628","$358.12","1.00","Apartment/Condo"
"R2031872","Land Only","S","LT.33 33974 MCPHEE PLACE","Mission BC",,,,"Mission","Mission","2/28/2017","Touchbase",,"$0.00","2/1/2016","029-470-307",,,"2/1/2016","$225,000","$45.92","0.98",,,"R465","$229,900","0",,"$45.92","0.98","Other"
"R2028670","Residential Attached","S","106 8391 BENNETT ROAD","Brighouse South","1979","Apartment/Condo","37","Richmond","Richmond","3/31/2016","Dan","1","$666.82","1/26/2016","000-935-859","3","$379.37","1/29/2016","$225,000","$269.78","1.13","1","2","115","$199,000","3","834","$269.78","1.13","Apartment/Condo"
"R2028272","Residential Attached","S","113 22015 48 AVENUE","Murrayville","1994","Apartment/Condo","22","Langley","Langley","7/23/2016","Janet","2","$2,051.37","1/23/2016","018-716-296","3","$290.70","1/30/2016","$225,000","$233.16","0.98","2","2","RMF","$229,000","7","965","$233.16","0.98","Apartment/Condo"
"R2028070","Land Only","S","LOT 48D MCLENNAN ROAD","McLennan",,,,"Richmond","Richmond","7/31/2016","JOSH ROSENBERG",,"$795.28","1/22/2016","011-874-279",,,"1/28/2016","$225,000",,"0.98",,,"AG1","$229,000","6",,,"0.98","Other"
"V902579","Land Only","S","LOT 6 GEDDES ROAD","Roberts Creek",,,,"Sunshine Coast","Roberts Creek","6/30/2016",,,"$1,740.00","7/27/2011","024-816-132",,,"2/2/2016","$225,000","$5.26","0.94",,,"R-1-D","$239,900","1651",,"$5.26","0.98","Other"
"R2018847","Residential Detached","S","46350 MAPLE AVENUE","Chilliwack E Young-Yale","1947","House/Single Family","69","Chilliwack","Chilliwack","4/1/2016","JOEL","1","$1,781.00","12/3/2015","007-570-198",,,"2/2/2016","$228,000","$245.69","0.94","1","2","R1A","$243,700","61","928","$245.69","0.94","House/Single Family"
"V1135185","Residential Attached","S","301 22318 LOUGHEED HIGHWAY","West Central","2013","Apartment/Condo","3","Maple Ridge","Maple Ridge","2/28/2016","JOLANTA TESZKA","2","$1,050.00","7/15/2015","029-127-459","6","$277.88","1/29/2016","$229,990","$254.98","1.00","2","2","1-RES","$229,990","198","902","$254.98","0.96","Apartment/Condo"
"R2027257","Residential Attached","S","807 2041 BELLWOOD AVENUE","Brentwood Park","1983","Apartment/Condo","33","Burnaby North","Burnaby","4/30/2016","KATIE","1","$1,654.47","1/21/2016","002-210-142",,"$230.00","2/2/2016","$232,000","$336.23","0.93","1","1","STRATA","$248,500","12","690","$336.23","0.93","Apartment/Condo"
"V1136517","Residential Attached","S","201 1534 HARWOOD STREET","West End VW","1967","Apartment/Condo","49","Vancouver West","Vancouver","1/31/2016","KARIN","1","$25,614.00","7/27/2015","024-224-286",,"$531.47","1/31/2016","$235,000","$427.27","0.98","1","1","RM5A","$239,000","188","550","$427.27","0.96","Apartment/Condo"
