"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2284102","Residential Detached","T","5395 PARK DRIVE","103 Mile House","51","2","1994","0.00","Manufactured with Land","100 Mile House (Zone 10)","007-661-932","V0K 3E1","0.00",,,,,,,"2","R1","$139,000","0.47","BC Northern","1",,,,,"24",,"250-397-0042",,,,"0","2",,,,,"103 Mile House","Residential Detached",,,,"0",,"8/17/2018","0","924","0","Other","$912.43",,,,"Yes",,,,"8/17/2018",,"6/27/2018",,,,"1",,,,"$0","9/30/2018",,"BC","Nice layout on this spacious, bright 14 x 66 manufactured home.  It has a built-in china cabinet, jetted tub, 2 bedrooms and 2 full bathrooms.  New vinyl siding and roof approximately 3 years ago.  On 0.47 acres only minutes from 100 Mile House.  Would make a great first-time investment (rental).  L#9143","Foundation is cribbing on blocks","For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2242371","Land Only","S","2823 LINKS DRIVE","Aberdeen PG","173",,,"7,480.00",,"PG City North (Zone 73)","030-361-371","V2K 0A5","0.00","Allowed Access","House/Single Family","$152,900","1.00","$20.44","8/14/2018",,"RS2","$152,900","0.17","BC Northern",,,,,"8/22/2018",,,"250-640-8899",,,,,,"No","Not Available","GLASS/MANNING",,"Prince George","Land",,"8/14/2018","172","0","Yes","5/31/2019",,,,,"$0.00","NOT USED",,,"Yes","Yes",,,"8/16/2018",,"2/22/2018",,"At Lot Line",,,,,,"$0",,"No","BC","Introducing Phase 4 at Aberdeen Glen Golf Course, residential living at its finest. Surrounded by one of BC 's most beautiful golf course's. Providing all home owners with attractive surroundings from the stunning homes, landscaping and easily accessible 18 hole golf course. Pro shop and Restaurant just down the street. Only a few minutes to shopping, schools, and other recreation.","Statutory building scheme. Taxes are not known at this time, bare land on paved public street, title is in process. House plans require the developers approval. GST payable by the Buyer(s) Address will be provided, when listing Realtor receives them.","For Sale","At Lot Line","1.00","8/16/2018",,,"At Lot Line",,"Freehold NonStrata",,,,"City/Municipal",
"R2196318","Land Only","X","BLK B MURPHY LAKE","Lac la Hache","366",,,"0.00",,"100 Mile House (Zone 10)","017-786-185","V0K 1T0","89.50","Water Access","House/Single Family",,,,,,"RL","$159,900","0.77","BC Northern",,,,,,,,"250-706-7955",,,,,,"No","Not Available",,,"100 Mile House","Land",,,,"301.27","No","8/9/2018",,,,,"$636.28",,,,"Yes","No",,,"8/10/2018",,"8/9/2017",,"Not Available",,,,,,"$0",,"No","BC","Exceptional waterfront get away retreat. One of the Cariboo's finest white sand beaches. Great swimming from the gently sloped beach, fishing and boating from your own oasis in the woods. Murphy Lake is a wilderness lake in the foothills of the Cariboo Mountains. Access is officially water access only, but there is a network of Forest Service Roads that now access this property. The property easily accommodates three RVs, for your family or friends. Gazebo, shed, shower house and outhouse make this lot an ideal get away location. Fifth wheel trailer included.","Registered fifth wheel trailer included in sale.","For Sale","None",,"8/10/2018",,,"None",,"Freehold NonStrata",,,,"None",
"R2213572","Residential Detached","X","6275 SPRINGALL CRESCENT","Birchwood","187","2","1973","10,890.00","Manufactured with Land","PG City North (Zone 73)","005-303-966","V2K 2A6","0.00",,,,,,,"1","RS1M","$169,900","0.25","BC Northern","1",,,,,"45",,"250-960-2373",,,,"0","2",,,,,"Prince George","Residential Detached",,,,,,"8/17/2018","0","1,162","0","Other","$1,221.34",,,,"Yes",,"CITY OF PRINCE GEORGE",,"8/18/2018",,"10/11/2017","City of Prince George",,,"1",,,,"$0","1/18/2018",,"BC","Great starter home or downsizing. The home is in a great neighborhood close to shopping, bus routes and the ski hill. Two bedroom home features a large new kitchen with an island, newer windows and new flooring. Single carport.","Foundation is Concrete pillars","For Sale",,,"8/18/2018",,,,,"Freehold NonStrata",,,,,
"R2284661","Residential Attached","T","110 101 N TABOR BOULEVARD","Heritage","52","3","1982","2,667.00","Townhouse","PG City West (Zone 71)","012-632-741","V2M 6Y1","0.00",,,,,,,"2","RM3","$169,900","0.06","BC Northern","1",,,,,"36",,"250-617-0321",,,,"0","3",,,,,"Prince George","Residential Attached",,,,"0",,"8/17/2018","0","1,415","335","Preserved Wood","$1,694.31",,,,"Yes",,,,"8/17/2018",,"6/26/2018",,,,"3",,"2",,"$0",,,"BC","Great value!  Affordable price with 5 level split style townhouse.  3 bedrooms upstairs & 1.5 bathrooms.  Big basement storage.  You have to check this out before it's gone!  Shopping centre is across the road and park near by.  This unit has 2 parking spaces.  Quick possession is possible.  All measurements are approximate and buyer to verify if deemed important.","2nd parking stall is $10/month and it is already added to its strata fee (so actual strata fee is $10 less).  The new buyer has right of refusal. Fireplace is not working.","For Sale",,,"8/17/2018",,,,"$299.00","Freehold Strata",,,,,
"R2277537","Residential Detached","S","2137 TAMARACK STREET","VLA","69","2","1949","5,600.00","House/Single Family","PG City Central (Zone 72)","013-114-751","V2L 2T6","50.00",,,"$172,000","0.91","$115.59","8/10/2018","1","RT2","$189,900","0.13","BC Northern","1",,,,"8/28/2018","69",,"250-565-1195",,,,"0","2",,,"KITSUL",,"Prince George","Residential Detached",,"8/10/2018","64","112",,"9/30/2018","0","1,488","0","Concrete Perimeter","$1,020.40","NOT USED",,,"Yes",,,,"8/20/2018",,"6/2/2018",,,,"1",,"2",,"$0",,,"BC","Cute and very clean, with 2 bedrooms up--and could easily have 2 more in the full basement with some rooms are already framed in.  Home has a split rear entry, so there is suite potential as well. Almost totally renovated including: brand new kitchen, new flooring, updated bathroom, new interior doors and fresh paint. Major updates (2014) include new torch-on roof, new 100-amp electrical, new high-efficiency furnace, and new hot water tank. Full basement with updated cement foundation. Move-in condition...nothing left to do. Large private fenced backyard. Excellent neighbours. Very quiet street. Short walk to downtown.","Updated home is very cute and absolutely spotless!! Newer concrete basement underneath. Almost everything has been updated. Shows very well. Has large fenced backyard. Split rear entry could be useful for future suite. You will be impressed!  OPEN HOUSE SUNDAY 1-3","For Sale",,"0.91","8/20/2018",,,,,"Freehold NonStrata",,,,,
"R2280709","Residential Detached","T","1879 SOMMERVILLE ROAD","North Blackburn","59","2","1967","18,295.00","House/Single Family","PG City South East (Zone 75)","024-224-405","V2N 6T6","0.00",,,,,,,"1","RS1M","$182,500","0.42","BC Northern","1",,,,,"51",,"250-613-1817","2004",,,"0","2",,,,,"Prince George","Residential Detached",,,,,,"8/13/2018","1","804","0","Other","$1,108.99",,,,"Yes",,"CITY OF PRINCE GEORGE",,"8/13/2018",,"6/15/2018","City of Prince George",,,"1",,,,"$184,900","8/31/2018",,"BC","Private 0.42 acres in city limits down a quiet road 2 minutes from Blackburn Elementary and only 20 minutes from town. Perfect for first time buyers, or anyone looking for some quiet and serenity. This 2 bedroom, 1 bath rancher has 4 outbuildings to hold all of your tools and toys. The largest outbuilding is wired for a generator.  Some new windows, plus a great covered porch at the front of the house.  The yard has multiple tiers including a spot with a fire pit on the highest tier so that you can enjoy every night around the fire. Don't miss out on the opportunity to own this great little home, on a nice quiet street.","Lockbox On. Some notice please. Measurements and Lot size taken from BC Assessment. 3 outbuildings will remain locked until second showings.  Some Vermiculite may be present in attic insulation but it is contained under new batt insulation.","For Sale",,,"8/13/2018",,,,,"Freehold NonStrata",,,,,
"R2271640","Residential Attached","X","103 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","93","1","1981","0.00","Apartment/Condo","Chilliwack","001-867-326","V2P 7J3",,,,,,,,"1","R4","$188,000","0.00","Chilliwack","1",,,,,"37",,"604-795-2955",,,,"0","1",,,,,"Chilliwack","Residential Attached",,,,,,"8/15/2018","0","672","0","Concrete Perimeter","$395.12",,,,"Yes",,,,"8/16/2018",,"5/15/2018",,,,"1",,"1",,"$197,000",,,"BC","First time buyers or Investors great opportunity to purchase vacant, nicely remodeled 1 bedroom 1 bath ground floor apartment. New laminate flooring, paint, doors, baseboards, Ikea kitchen cabinets, counter tops & bathroom vanity. Newer appliances... ready to move in or rent out.","Easy to show. Lockbox on gas meter. Please touchbase for showings.","For Sale",,,"8/16/2018",,"4",,"$254.51","Freehold Strata","41",,"41",,
"R2241153","Residential Detached","X","10455 98 STREET","Taylor","181","3","2006","7,800.00","Manufactured with Land","Fort St. John (Zone 60)","009-132-856","V0C 2K0","60.00",,,,,,,"2","R1","$191,500","0.18","BC Northern","1",,,,,"12",,"250-262-9966",,,,"0","3",,,,,"Taylor","Residential Detached",,,,"130",,"8/15/2018","0","1,520","0","Other","$1,992.16",,,,"Yes",,,,"8/16/2018",,"2/16/2018",,,,"1",,"4",,"$201,500","5/16/2018",,"BC","This home features an open kitchen/living room concept, vaulted ceiling with a media room right off the living room for your enjoyment. The kitchen is sure to please the cook in the family with lots of counter space, over-sized pantry and island. The master bedroom is quite spacious & comes with a full 4 pce. ensuite & walk-in closet. With 2 other bedrooms and full bath at the other end of the home makes this a property worth seeing.","Foundation is steel pilings. This is a court ordered sale and an attached Schedule A must accompany any offers.","For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2288338","Residential Detached","T","12223 FIR AVENUE","Fort St. John - Rural W 100th","39","2","1977","0.00","Manufactured with Land","Fort St. John (Zone 60)","011-898-101","V1J 4M7","0.00",,,,,,,"1","R1","$199,900","0.50","BC Northern","1",,,,,"41",,"250-264-7774",,,,"0","2",,,,,"Fort St. John","Residential Detached",,,,"0",,"8/17/2018","0","924","0","Preserved Wood","$855.49",,,,"Yes",,,,"8/17/2018",,"7/9/2018",,,,"1",,"4",,"$0","1/9/2019",,"BC","Country living, city convenience. Two bedroom, 14x66 mobile home on a 0.5 acre lot. Features a front end living room, eat-in kitchen with built-china cabinet, two large bedrooms. Includes: fridge, stove, front-load washer and dryer, 16x32 shed. Great acreage close to Fort St. John. Mobile home information taken from MHR search and BC Assessment.",,"For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2198655","Land Only","X","20942 SNOWFLAKE CRESCENT","Hemlock","365",,,"32.00",,"Mission","002-252-058","V0M 1A1",,"Allowed Access","Duplex",,,,,,"RST-3","$199,900","0.00","Fraser Valley",,,,,,,,"778-344-7443",,,,,,"No","Not Available",,,"Agassiz","Land",,,,,"No","8/14/2018",,,,,"$692.08",,,,"Yes","No",,,"8/15/2018",,"8/15/2017","Mission","Not Available",,,,,"Not Known","$0",,"No","BC","Great location, only 3 minutes from the Skyline Chair and a 5 minute stroll to The Sasquatch Mountain Resort day lodge. This is a large duplex lot in the most sought after area in the village. Build your own personal chalet for friends and family, and invest at the same time.","LR eager to cooperate. Note: Regarding recent logging, the current owner will be falling one danger tree.","For Sale","At Lot Line",,"8/15/2018",,,"None",,"Freehold NonStrata",,,,"Community",
"R2263938","Residential Detached","X","1875 RICHLAND DRIVE","Williams Lake - Rural North","111","3","1972","0.00","Manufactured with Land","Williams Lake (Zone 27)","012-003-565","V2G 5E3","0.00",,,,,,,"2","R2","$214,900","0.34","BC Northern","2",,,,,"46",,"250-267-1088",,,,"0","3",,,,,"Williams Lake","Residential Detached",,,,"0",,"8/17/2018","0","2,200","0","Concrete Perimeter","$1,257.22",,,,"Yes",,,,"8/18/2018",,"4/29/2018",,,,"2",,,,"$0","11/30/2018",,"BC","Located just a few minutes from town is this gem! 3 bedrooms on the main floor with 2 full bathrooms. Unfinished basement is ready for you to create the ultimate media room or workshop! Fantastic fenced yard with lots of space for little ones or pets.",,"For Sale",,,"8/18/2018",,,,,"Freehold NonStrata",,,,,
"R2269662","Residential Detached","X","4408 HERITAGE CRESCENT","Fort Nelson -Town","94","5","2001","8,794.00","Manufactured with Land","Fort Nelson (Zone 64)","023-137-631","V0C 1R0","0.00",,,,,,,"3","RS-1","$215,000","0.20","BC Northern","1",,,,,"17",,"250-500-1434",,,,"2","3",,,,,"Fort Nelson","Residential Detached",,,,"0",,"8/17/2018","1","2,800","1,400","Preserved Wood","$2,790.51",,,,"Yes",,,,"8/18/2018",,"5/16/2018",,,,"2",,,,"$224,500",,,"BC","The one you've been waiting for! In the heart of family-friendly Midtown Subdivision, this well-maintained home has everything your heart desires. Five large bedrooms, including a master with fabulous closets and ensuite bath. The dining room can accommodate a huge table, and the kitchen has ample cupboards and counter space. A cozy living room upstairs and spacious family room down mean everyone can have their space. Plus...there's a double garage and a supersized toy shed. Don't miss out!!","Court-ordered Sale. Signed Schedule A must accompany all offers. Subject to court approval.","For Sale",,,"8/18/2018",,,,,"Freehold NonStrata",,,,,
"R2296605","Residential Attached","S","108 45561 YALE ROAD","Chilliwack W Young-Well","1","2","2008","0.00","Apartment/Condo","Chilliwack","027-467-261","V2P 0A8","0.00",,,"$225,000","0.98","$256.26","8/11/2018","2","R6","$229,777","0.00","Chilliwack","1",,,,"8/30/2018","10",,"604-825-7160",,,,"0","2",,,"N Douglas",,"Chilliwack","Residential Attached",,"8/11/2018","1",,,"11/7/2018","0","878","0","Concrete Perimeter","$574.52","NOT USED",,,"Yes",,"CITY OF CHILLIWACK",,"8/17/2018",,"8/10/2018","Chilliwack",,,"1",,"2",,"$0",,,"BC","Excellent Investment 2 bedroom 2 bath 878 sq.ft. corner unit. condo with 2 parking spots located in the Convenient location in the Vibe! close to new Brewery, UFV transfer, shopping , restaurants lots of other amenities and easy access to highway. Spacious Living room with access to nice covered ground level patio. large master bedroom suite with walk in closet. 2 Secured underground parking spots plus storage locker. Rentals are allowed. cats are allowed no dogs permitted. No age restrictions so kids and families welcome. Lots of visitor parking. This is a Great Buy !Must see!","All measurements and age is approximate . please email offers @ rkjhajj@hotmail.com","For Sale",,"0.98","8/17/2018",,,,"$372.51","Freehold Strata",,,,,
"R2255686","Land Only","X","5551 CRANBROOK HILL ROAD","Cranbrook Hill","128",,,"0.00",,"PG City West (Zone 71)","011-797-207","V2N 2J4","0.00","Road Access","House/Single Family",,,,,,"AR2","$229,000","4.63","BC Northern",,,,,,,,"250-613-9037",,,,,,"No","Not Available",,,"Prince George","Land",,,,"0","No","8/15/2018",,,,,"$1,373.84",,,,"Yes","No",,,"8/16/2018",,"4/10/2018",,"Nearby",,,,,"Not Known","$0",,"No","BC","Gorgeous 4.63 acres on desirable Cranbrook Hill, just 2 kilometers from Foothills and 15th Avenue intersection. Gently rolling property, cleared and ready, has been utilized as horse pasture for many years; fully fenced, with small horse shelter (of little value). This is one of the last easily accessible acreages on Cranbrook Hill, with gorgeous neighbouring/ surrounding homes. Truly, a beautiful setting for an amazing country home to be built WITHIN the city boundary. Seller states there is a vein of gravel at front right (North West) corner of property where trees/ bush stand.","-Seller may consider partial financing, with qualification.   -water well is possible though numerous owners have installed water holding tanks as a viable/ reliable option for water.","For Sale","None",,"8/16/2018",,,"None",,"Freehold NonStrata",,,,"None",
"R2270167","Residential Detached","X","117 GIBBON ROAD","Esler/Dog Creek","93","3","9999","0.00","House/Single Family","Williams Lake (Zone 27)","011-556-561","V2G 3N1","0.00",,,,,,,"3","R1","$229,000","0.38","BC Northern","1",,,,,"999",,"250-305-8069",,,,"0","3",,,,,"Williams Lake","Residential Detached",,,,"0",,"8/14/2018","1","2,592","1,296","Concrete Perimeter","$2,023.69",,,,"Yes",,,,"8/15/2018",,"5/14/2018",,,,"2",,,,"$235,000",,,"BC","Looking for a great family home minutes to town? This 4-bedroom, 3-bathroom home is in a great neighbourhood, which has trails at your disposal, and a private fenced backyard, fire pit area, and a super-sized 12-man hot tub which is also included! Updates include a brand new Lennox high-efficiency furnace, new wood stove, and a new dishwasher. You'll love the attached shop with double steel doors for security, and the attached garage for parking in the winter months or simply for extra storage.","All items in the driveway and yard are to be removed, but are negotiable.","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2243090","Residential Detached","X","5944 ANDERSON ROAD","100 Mile House - Rural","160","3","9999","0.00","House/Single Family","100 Mile House (Zone 10)","008-878-510","V0K 2E0","0.00",,,,,,,"2","R1","$229,000","0.34","BC Northern","1",,,,,"999",,"250-706-3337",,,,"0","3",,,,,"100 Mile House","Residential Detached",,,,"0",,"8/15/2018","1","1,599","0","Concrete Perimeter","$2,004.05",,,,"Yes",,,,"8/16/2018",,"2/27/2018",,,,"2",,,,"$239,000","6/30/2018",,"BC","Nicely updated 3 bedroom home with detached shop, large patio, and fully fenced yard. Very well maintained and move in ready. Newer furnace, hot water tank and water softener. The house is on a community water system and private septic system. L#8737",,"For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
